City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
67,Bismarck,46.8083,-100.7837,1.4,60,90,9.22,US,2021-02-08 20:27:38
68,Bosaso,11.2842,49.1816,73.63,74,48,5.82,SO,2021-02-08 20:27:38
69,Albany,42.6001,-73.9662,27.0,39,87,4.23,US,2021-02-08 20:27:38
70,Codrington,-38.2667,141.9667,50.4,93,6,7.83,AU,2021-02-08 20:27:38
71,Katsuura,35.1333,140.3,37.0,30,38,3.0,JP,2021-02-08 20:27:38
72,Esso,55.9333,158.7,4.5,89,75,3.22,RU,2021-02-08 20:27:38
73,Vardo,70.3705,31.1107,23.0,86,75,16.11,NO,2021-02-08 20:27:38
74,Airai,-8.9266,125.4092,60.39,100,100,3.02,TL,2021-02-08 20:27:38
75,Lata,40.1629,-8.3327,55.0,87,61,4.88,PT,2021-02-08 20:27:18
76,Vao,-22.6667,167.4833,76.93,85,11,6.6,NC,2021-02-08 20:27:38
77,Haines Junction,60.7522,-137.5108,-7.6,59,100,6.91,CA,2021-02-08 20:27:39
78,Do Gonbadan,30.3586,50.7981,51.8,76,0,1.14,IR,2021-02-08 20:27:39
79,Mahebourg,-20.4081,57.7,78.8,78,40,6.91,MU,2021-02-08 20:27:39
80,Luanda,-8.8368,13.2343,80.6,74,20,8.05,AO,2021-02-08 20:26:08
81,Plettenberg Bay,-34.0527,23.3716,65.88,80,0,4.09,ZA,2021-02-08 20:27:39
82,Kikwit,-5.041,18.8162,75.04,83,96,2.19,CD,2021-02-08 20:27:39
83,Castro,-24.7911,-50.0119,70.39,75,15,8.12,BR,2021-02-08 20:27:19
84,Houston,29.7633,-95.3633,70.0,82,75,9.22,US,2021-02-08 20:26:48
85,Yellowknife,62.456,-114.3525,-25.01,68,90,19.57,CA,2021-02-08 20:27:39
86,Miranda,3.2499,-76.2281,84.2,58,75,8.05,CO,2021-02-08 20:23:31
87,Kavaratti,10.5669,72.642,81.3,64,0,4.52,IN,2021-02-08 20:27:40
88,Ewa Beach,21.3156,-158.0072,78.8,50,1,12.66,US,2021-02-08 20:25:16
89,Torbay,47.6666,-52.7314,33.01,100,90,20.71,CA,2021-02-08 20:27:40
90,Hithadhoo,-0.6,73.0833,82.49,79,81,11.18,MV,2021-02-08 20:27:40
91,Alta Floresta,-9.8756,-56.0861,87.8,62,75,5.75,BR,2021-02-08 20:27:40
92,Carutapera,-1.195,-46.02,83.16,72,54,10.09,BR,2021-02-08 20:27:40
93,Pandan,14.0453,124.1694,76.82,89,100,17.9,PH,2021-02-08 20:27:40
94,Salalah,17.0151,54.0924,71.6,73,0,4.61,OM,2021-02-08 20:27:40
95,San Quintin,30.4833,-115.95,62.6,63,0,6.64,MX,2021-02-08 20:27:40
96,Clyde River,70.4692,-68.5914,10.4,85,20,27.63,CA,2021-02-08 20:27:40
97,Saint-Philippe,-21.3585,55.7679,77.0,78,20,5.75,RE,2021-02-08 20:27:40
98,Tuatapere,-46.1333,167.6833,54.48,93,100,10.45,NZ,2021-02-08 20:27:40
99,Paamiut,61.994,-49.6678,30.85,85,60,8.28,GL,2021-02-08 20:27:41
100,Hermanus,-34.4187,19.2345,70.0,84,6,5.28,ZA,2021-02-08 20:27:41
101,Clarence Town,-32.5833,151.7833,69.01,77,75,14.97,AU,2021-02-08 20:27:41
102,Indianola,41.3581,-93.5574,6.01,67,100,6.62,US,2021-02-08 20:27:41
103,Winslow,35.0242,-110.6974,66.2,9,1,21.85,US,2021-02-08 20:25:40
104,Nehe,48.4833,124.8333,2.46,91,100,5.5,CN,2021-02-08 20:27:41
105,Mount Gambier,-37.8333,140.7667,48.2,93,0,9.22,AU,2021-02-08 20:27:41
106,Chokurdakh,70.6333,147.9167,-10.41,85,0,10.09,RU,2021-02-08 20:24:09
107,Kruisfontein,-34.0033,24.7314,66.0,81,21,1.01,ZA,2021-02-08 20:27:22
108,Cape Town,-33.9258,18.4232,71.01,78,20,18.41,ZA,2021-02-08 20:27:41
109,Bredasdorp,-34.5322,20.0403,64.4,88,4,3.44,ZA,2021-02-08 20:27:41
110,Ilhabela,-23.7781,-45.3581,74.75,73,100,6.22,BR,2021-02-08 20:27:42
111,Danielskuil,-28.1887,23.5395,76.15,34,29,0.34,ZA,2021-02-08 20:27:42
112,Nemuro,43.3236,145.575,18.27,87,77,18.39,JP,2021-02-08 20:27:42
113,Rosita,13.9268,-84.4032,81.61,74,39,5.46,NI,2021-02-08 20:27:42
114,Coihaique,-45.5752,-72.0662,86.0,26,0,6.91,CL,2021-02-08 20:26:21
115,Mar Del Plata,-38.0023,-57.5575,66.2,68,75,18.41,AR,2021-02-08 20:27:06
116,Ribeira Grande,38.5167,-28.7,60.8,82,75,18.41,PT,2021-02-08 20:27:42
117,Cherskiy,68.75,161.3,3.49,72,100,4.52,RU,2021-02-08 20:27:42
118,Emba,48.8264,58.1442,1.67,90,85,12.53,KZ,2021-02-08 20:26:29
119,Oyo,7.85,3.9333,89.6,58,20,5.75,NG,2021-02-08 20:27:42
