City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Tynda,RU,55.1667,124.7167,-10.1,87,95,3.36,overcast clouds
80,Port Elizabeth,ZA,-33.918,25.5701,68.0,83,40,6.91,scattered clouds
81,Atuona,PF,-9.8,-139.0333,79.7,76,89,20.62,overcast clouds
82,Yellowknife,CA,62.456,-114.3525,-29.2,68,90,20.71,snow
83,Najran,SA,17.4924,44.1277,53.6,94,40,7.87,scattered clouds
84,Haines Junction,CA,60.7522,-137.5108,-5.8,54,100,6.91,overcast clouds
85,Chuy,UY,-33.6971,-53.4616,67.87,92,88,5.84,overcast clouds
86,Longyearbyen,SJ,78.2186,15.6401,14.0,52,0,10.36,clear sky
87,Curumani,CO,9.1999,-73.5427,94.41,37,9,6.13,clear sky
88,Victor Harbor,AU,-35.5667,138.6167,66.99,87,0,10.4,clear sky
89,Sitka,US,57.0531,-135.33,24.8,54,90,10.36,light snow
90,Dikson,RU,73.5069,80.5464,-31.36,85,79,13.96,broken clouds
91,Saint-Augustin,CA,51.226,-58.6502,34.56,96,100,14.47,light rain
92,Tautira,PF,-17.7333,-149.15,87.01,62,20,10.36,few clouds
93,Yumen,CN,40.2833,97.2,26.53,76,29,7.74,scattered clouds
94,Siniscola,IT,40.5719,9.6922,55.4,88,40,5.75,light rain
95,Korla,CN,41.7597,86.1469,30.65,81,42,2.75,scattered clouds
96,Alice Springs,AU,-23.7,133.8833,86.0,30,99,6.91,overcast clouds
97,Sohagpur,IN,22.7,78.2,53.22,40,0,0.76,clear sky
98,Lompoc,US,34.6391,-120.4579,60.8,63,1,9.22,clear sky
99,Kapaa,US,22.0752,-159.319,77.0,60,75,14.97,broken clouds
100,Guerrero Negro,MX,27.9769,-114.0611,68.68,42,48,12.77,scattered clouds
101,Geraldton,AU,-28.7667,114.6,62.6,88,75,1.14,broken clouds
102,Evanston,US,42.0411,-87.6901,16.0,79,90,4.61,snow
103,Lobatse,BW,-25.2167,25.6667,68.0,94,1,4.61,clear sky
104,Pangnirtung,CA,66.1451,-65.7125,15.8,57,20,4.61,few clouds
105,Mitchell,US,43.7094,-98.0298,6.8,61,75,3.44,broken clouds
106,Mar Del Plata,AR,-38.0023,-57.5575,64.99,59,40,14.97,scattered clouds
107,Clemson,US,34.6834,-82.8374,57.0,47,1,4.61,clear sky
108,Kalmunai,LK,7.4167,81.8167,75.38,82,97,12.44,overcast clouds
109,Codrington,AU,-38.2667,141.9667,57.79,75,6,12.08,clear sky
110,Maniwaki,CA,46.3834,-75.966,17.6,45,97,2.3,overcast clouds
111,Abha,SA,18.2164,42.5053,50.0,81,40,3.44,scattered clouds
112,Mehamn,NO,71.0357,27.8492,23.0,68,40,23.02,light snow
113,Jadu,LY,31.953,12.0261,53.58,40,1,14.72,clear sky
114,Ancud,CL,-41.8697,-73.8203,77.0,47,0,8.05,clear sky
115,Erenhot,CN,43.6475,111.9767,16.0,89,0,7.74,clear sky
116,Mezhdurechensk,RU,53.6942,88.0603,24.39,95,100,12.46,snow
117,Thompson,CA,55.7435,-97.8558,-16.6,69,90,13.8,snow
118,Antofagasta,CL,-23.65,-70.4,68.0,77,20,16.11,few clouds
119,Bambous Virieux,MU,-20.3428,57.7575,78.8,83,75,6.91,light rain
120,Klaksvik,FO,62.2266,-6.589,30.2,69,30,9.22,scattered clouds
121,Vostok,RU,46.4856,135.8833,-14.4,89,100,6.02,overcast clouds
122,Huarmey,PE,-10.0681,-78.1522,75.6,69,65,9.62,broken clouds
123,Gat,IL,31.61,34.7642,62.01,52,94,5.77,overcast clouds
124,Pevek,RU,69.7008,170.3133,-12.28,82,100,0.49,overcast clouds
125,Port-Gentil,GA,-0.7193,8.7815,80.6,94,40,2.3,scattered clouds
126,Haimen,CN,23.1935,116.6142,62.6,63,0,11.18,clear sky
127,Oranjemund,NA,-28.55,16.4333,64.54,86,0,11.77,clear sky
